CymbaltaEpSO;cymbalta
AtivanEpSO;ativan
ThermalSeziureEpSO;thermal seziur;thermal seziure;thermal seizur;thermal seizure
HemisphericEpileptogenicZoneEpSO;hemispher epileptogen zone;hemispheric epileptogenic zone;hemisphere;hemispher
EpilepticSpasmStatusEpSO;epileptic spasm status;epilept spasm status
MellarilEpSO;<?xml version="1.0" encoding="utf-8" standalone="yes"?><rxnormdata><idgroup><rxnormid>152018</rxnormid></idgroup></rxnormdata>;mellaril
DysmetropsiaEpSO;dysmetropsia
VimpatEpSO;vimpat
ZuclopenthixolDecanoateEpSO;zuclopenthixol decano;zuclopenthixol decanoate
AdganEpSO;<?xml version="1.0" encoding="utf-8" standalone="yes"?><rxnormdata><idgroup><rxnormid>215027</rxnormid></idgroup></rxnormdata>;adgan
ElectrodeCzEpSO;electrode cz;electrod cz
BrodmannArea4RightFrontalLobeEpSO;brodmann area 4 right frontal lobe;brodmann area 4 of right frontal lobe;brodmann area4 right frontal lobe
RightOccipitalLobeEpSO;right occipit;right occipital lobe;right occipital;right occipit lobe
ZiprasidoneEpSO;ziprasidon;ziprasidone
RightCingulateGyrusEpSO;right cingulate gyrus;right cingul gyrus
ElectrodeCP3EpSO;electrode c p3;electrod c p3
PhenytekEpSO;phenytek®;phenytek
DiastatEpSO;diastat
NodularHeterotopiasEpSO;nodular heterotopias;nodular heterotopia
HypomotorEpisodeEpSO;hypomotor episode;hypomotor episod
EEGSuppressionOnsetEpSO;onset of seizure onset;onset of seizur onset;e e g suppression onset;e e g suppress onset
ElectrodeT4EpSO;electrod t4;electrode t4
ClinicalHistoryRecordingEpSO;clinic histori record;clinical history recording
YearEpSO;year
JitteryPhaseOnsetEpSO;onset of jitteri phase;onset of jittery phase;jittery phase onset;jitteri phase onset
ElectrodeFC5EpSO;electrode f c5;electrod f c5
MaprotilineHydrochlorideEpSO;maprotiline hydrochloride;maprotilin hydrochlorid
PalinopsiaEpSO;palinopsia
MaprotilineMesylateEpSO;maprotiline mesylate;maprotilin mesyl
ElectrodeFPzEpSO;electrode f pz;electrod f pz
BrodmannArea4LeftPostcentralGyrusEpSO;brodmann area 4 left postcentral gyrus;brodmann area 4 of left postcentr gyrus;brodmann area 4 left postcentr gyrus;brodmann area4 left postcentr gyrus;brodmann area4 left postcentral gyrus;brodmann area 4 of left postcentral gyrus
SingleFocalEpilepsyEpSO;single focal epilepsy;singl focal epilepsi
DeltaRhythmEpSO;delta rhythm
ElectrodeFT9EpSO;electrod f t9;electrode f t9
LateralParietalEpilepsyEpSO;lateral parietal epilepsy;later pariet epilepsi
ZuclopenthixolDihydrochlorideEpSO;zuclopenthixol dihydrochloride;zuclopenthixol dihydrochlorid
NortriptylineEpSO;nortriptyline;nortriptylin
Parietal10-10SystemEpSO;pariet 10-10 system;parietal 10-10 system;parietal10-10 system
ZotepineEpSO;zotepin;zotepine
CataplexyEpSO;cataplexy;cataplexi
RippleEpSO;rippl;ripple
RightMesialLesionEpSO;right mesial lesion
RightHippocampalFormationEpSO;right hippocamp format;right hippocampal formation
LeftMesialFrontalLobeSegmentEpSO;left mesial frontal lobe segment;left mesial frontal
EEGTopographicMapEpSO;e e g topograph map;e e g topographic map;eeg topograph map;eeg topographic map
EpileptiformPatternEpSO;epileptiform pattern
ParietalLobeGyrusEpSO;gyrus of pariet lobe;pariet lobe gyrus;parietal lobe gyrus;gyrus of parietal lobe
SnoringEpSO;snoring;snore
PontocerebellarTrigoneEpSO;pontocerebellar trigone;pontocerebellar trigon
RightLittleToeEpSO;right littl toe;right little toe
ParasomniasEpSO;parasomnias;parasomnia
ValproateEpSO;valproate;valproat
ElectrodePlacementSystemEpSO;electrod placement system;electrode placement system
MetadateEpSO;metad;metadate
BigToeEpSO;big toe;first toe
IntergeniculateLeafEpSO;intergeniculate leaf;intergenicul leaf
AmnesticSeizureEpSO;amnestic seizure;amnest seizur
SpikeWaveComplexEpSO;spike-and-wav complex;spike wave complex;spike-and-wave complex
FocalCorticalDysplasiaTypeIAEpSO;focal cortical dysplasia type i a;fcd type ia (abnorm radial cortic lamination);focal cortic dysplasia type i a;fcd type ia (abnormal radial cortical lamination)
ElectrodeFP1EpSO;electrode f p1;electrod f p1
LofepramineHydrochlorideEpSO;lofepramin hydrochlorid;lofepramine hydrochloride
VisualOccipitalN100EpSO;visual occipit n100;visual occipital n100
BrodmannArea3LeftFrontalLobeEpSO;brodmann area 3 left frontal lobe;brodmann area3 left frontal lobe;brodmann area 3 of left frontal lobe
HandEpSO;terminal segment of free upper limb;termin segment of free upper limb;hand
TelencephalonBasalGanglionEpSO;basal ganglion of telencephalon;telencephalon basal ganglion
GabaroneEpSO;<?xml version="1.0" encoding="utf-8" standalone="yes"?><rxnormdata><idgroup><rxnormid>602396</rxnormid></idgroup></rxnormdata>;gabarone;gabaron
VasomotorSeizureEpSO;vasomotor seizur;vasomotor seizure
ActivityofArousalEpSO;activityof arous;activityof arousal
ComplexAuditoryAuraStatusEpSO;complex auditory aura status;complex auditori aura status
FrontalLobeOrbitofrontalSegmentEpSO;frontal lobe orbitofront segment;orbito-frontal;orbitofront segment of frontal lobe;orbito-front;orbitofrontal segment of frontal lobe;frontal lobe orbitofrontal segment
MentalRetardationEpSO;mental retardation;mental retard
CerebellumEpSO;epencephalon-1;cerebellum
SeizureConsciousnessStateEpSO;seizure consciousness state;seizur conscious state
LeftFrontalAstrocytomaEpSO;left frontal astrocytoma
HaloperidolEpSO;haloperidol
RetroOlivaryAreaEpSO;retro olivary area;retro olivari area;pyramid of medulla
EncephalitisEpSO;encephalitis;enceph
EEGCurrentSourceDensityMapEpSO;e e g current source density map;eeg current source density map;e e g current sourc densiti map;eeg current sourc densiti map
Fourteen-SixHertzPositiveBurstEpSO;fourteen- six hertz posit burst;fourteen- six hertz positive burst
DexmethylphenidateHydrochlorideEpSO;dexmethylphenidate hydrochloride;dexmethylphenid hydrochlorid
BrodmannArea3RightPrecentralGyrusEpSO;brodmann area 3 right precentral gyrus;brodmann area3 right precentral gyrus;brodmann area 3 of right precentral gyrus;brodmann area3 right precentr gyrus;brodmann area 3 right precentr gyrus;brodmann area 3 of right precentr gyrus
ContinuousSlowActivityEpSO;continu slow;continuous slow;continuous slow activity;continu slow activ
TrifluoperazineEpSO;trifluoperazin;trifluoperazine
RightMesialOccipitalLobeSegmentEpSO;right mesial occipital lobe segment;right mesial occipit lobe segment
RightLittleFingerEpSO;right littl finger;right little finger
DepaconEpSO;depacon
InfectionEpSO;infection;infect
ElectrodeFT8EpSO;electrod f t8;electrode f t8
RightParietalLobeEpSO;right parietal lobe;right pariet;right pariet lobe;right parietal
ElectrodeCP4EpSO;electrod c p4;electrode c p4
ZyprexaEpSO;zyprexa
JamaisVuEpSO;jamai vu;jamais vu
BrodmannArea4LeftFrontalLobeEpSO;brodmann area 4 of left frontal lobe;brodmann area 4 left frontal lobe;brodmann area4 left frontal lobe
LexaproEpSO;lexapro
GLI3EpSO;gli famili zinc finger 3;g l i3;gli family zinc finger 3
RhytmicTemporalThetaBurstsofDrowsinessEpSO;rhytmic temporal theta burstsof drowsiness;rhytmic tempor theta burstsof drowsi
MirtazapineEpSO;mirtazapin;mirtazapine
ChildEpSO;child
ElectrodeT3EpSO;electrode t3;electrod t3
TelencephalonEpSO;telencephalon
IntermediateHypothalamicRegionEpSO;intermedi hypothalam area;intermediate hypothalamic region;intermedi hypothalam region;intermediate hypothalamic area
FrontalLobeOrbitobasalSegmentEpSO;orbitobasal segment of frontal lobe;frontal lobe orbitobas segment;frontal lobe orbitobasal segment;orbitobasal region of frontal lobe;orbitobas region of frontal lobe;orbitobas segment of frontal lobe
ElectrodeFC4EpSO;electrode f c4;electrod f c4
TonicSeizureEndEpSO;tonic seizur end;tonic seizure end
NonTwentyFourHourSleepWakeSyndromeEpSO;non-24-hour-sleep-wake-syndrome;non twenty four hour sleep wake syndrome;non twenti four hour sleep wake syndrom;non-24-hour-sleep-wake-syndrom
TonicClonicStatusEpSO;tonic clonic status
AlkabelEpSO;alkabel;<?xml version="1.0" encoding="utf-8" standalone="yes"?><rxnormdata><idgroup><rxnormid>608686</rxnormid></idgroup></rxnormdata>
DiencephalonAnteriorTubercleEpSO;anterior tubercl of diencephalon;anterior tubercle of thalamus;diencephalon anterior tubercle;anterior tubercl of thalamus;anterior tubercle of diencephalon;diencephalon anterior tubercl
InsulaLobuleEpSO;insula lobul;lobul of insula;lobule of insula;segment of insula;insula lobule
NeuraxisZoneEpSO;neuraxis zone;cell part cluster;neuraxi zone
LevomepromazineMaleateEpSO;levomepromazin maleat;levomepromazine maleate
OlanzapineEpSO;olanzapine;olanzapin
ElectrodeF2EpSO;electrode f2;electrod f2
HyosophenEpSO;hyosophen;<?xml version="1.0" encoding="utf-8" standalone="yes"?><rxnormdata><idgroup><rxnormid>217656</rxnormid></idgroup></rxnormdata>
LurasidoneHydrochlorideEpSO;lurasidone hydrochloride;lurasidon hydrochlorid
DialepticStatusEpSO;dialept status;dialeptic status
PhysicalProcessEpSO;physical process;physic process
OccipitalIntermittentRythmicDeltaActivityEpSO;occipit intermitt rythmic delta activ;occipital intermittent rythmic delta activity
ElectrodeEpSO;electrode;electrod
DonnapineEpSO;donnapin;donnapine;<?xml version="1.0" encoding="utf-8" standalone="yes"?><rxnormdata><idgroup><rxnormid>216723</rxnormid></idgroup></rxnormdata>
AtypicalDialepticSeizureEpSO;atyp dialept seizur;atypical dialeptic seizure
RightThirdToeEpSO;right third toe
DepakoteEpSO;depakote;depakote®;depakot
NeuronalHeterotopiaEpSO;neuronal heterotopia;neuron heterotopia
ClonicTonicClonicStatusEpSO;clonic tonic clonic status
BordmannArea3RightParacentralLobuleAnteriorSegmentEpSO;anterior segment of brodmann area 3 right paracentr lobul;bordmann area3 right paracentral lobule anterior segment;brodmann area 3 of anterior segment of right paracentral lobule;brodmann area 3 of anterior segment of right paracentr lobul;bordmann area3 right paracentr lobul anterior segment;anterior segment of brodmann area 3 right paracentral lobule
OnfiEpSO;onfi®;onfi
DroperidolEpSO;droperidol
ThirdToeEpSO;third toe;digitus tertius [iii]
LeftLateralTemporalLobeSegmentEpSO;left later tempor;left lateral temporal lobe segment;left lateral temporal;left later tempor lobe segment
LeftForearmEpSO;left antebrachial region;left forearm;left antebrachi region
NasionEpSO;nasion
ElectrodeF1EpSO;electrode f1;electrod f1
BrodmannArea4LeftParacentralLobuleEpSO;brodmann area 4 left paracentral lobule;brodmann area 4 left paracentr lobul;brodmann area4 left paracentral lobule;brodmann area4 left paracentr lobul;brodmann area 4 of left paracentral lobule;brodmann area 4 of left paracentr lobul
FocalCorticalDysplasiaTypeIBEpSO;fcd type ib (abnorm tangenti cortic lamination);focal cortical dysplasia type i b;focal cortic dysplasia type i b;fcd type ib (abnormal tangential cortical lamination)
MesoridazineEpSO;mesoridazin;mesoridazine
TelencephalonZoneEpSO;zone of telencephalon;telencephalon zone
HippocampalEpilepsyEpSO;hippocamp epilepsi;hippocampal epilepsy
ParietalN400EpSO;n400;parietal n400;pariet n400
PreciseDrugIngredientEpSO;precise drug ingredient;precis drug ingredi
LeftPosteriorCingulateSegmentEpSO;left posterior cingulate segment;left posterior cingul segment
BupropionHydrochlorideEpSO;bupropion hydrochlorid;bupropion hydrochloride
CerebralAbcessEpSO;cerebr abcess;cerebral abcess
COPXCoord3DEpSO;cop xcoord 3d;c o p x coord3 d
LimbitrolEpSO;limbitrol
Bi-PeriodicLateralizedEpileptiformDischargeEpSO;bi- period later epileptiform discharg;bilateral periodic lateralized epileptiform discharge (bi-pled);bi- periodic lateralized epileptiform discharge;bilater period later epileptiform discharg (bi-pled)
CerebellumNeuralTissueEpSO;cerebellum neural tissue;neural tissue of cerebellum;cerebellum neural tissu;neural tissu of cerebellum
ClozarilEpSO;clozaril
GangliocytomaEpSO;gangliocytoma
ElectrocardiographyDataEpSO;electrocardiographi data;electrocardiography data;ecg label;ecg data set
FunctionalDeficitZoneEpSO;function deficit zone;functional deficit zone
MedialHypothalamusZoneEpSO;medial hypothalamus zone;medial zone of hypothalamus
ComplexMotorSeizureEpSO;complex motor seizure;complex motor seizur
ElectrodeTP9EpSO;electrod t p9;electrode t p9
RightFrontalLobeOrbitobasalSegmentEpSO;orbitobasal segment of right frontal lobe;orbitobas segment of right frontal lobe;right frontal lobe orbitobas segment;right frontal lobe orbitobasal segment
ElectrodeFzEpSO;electrod fz;electrode fz
LeftHippocampusEpSO;left hippocampus
BuprobanEpSO;buproban;<?xml version="1.0" encoding="utf-8" standalone="yes"?><rxnormdata><idgroup><rxnormid>581650</rxnormid></idgroup></rxnormdata>
FocalCorticalDysplasiaTypeIIINOSEpSO;fcd type iii (not otherwise specified, nos);focal cortical dysplasia type i i i n o s;fcd type iii (not otherwis specified, nos);focal cortic dysplasia type i i i n o s
CHRNA4EpSO;cholinerg receptor, nicotinic, alpha 4 (neuronal);c h r n a4;cholinergic receptor, nicotinic, alpha 4 (neuronal)
FanatrexEpSO;fanatrex;<?xml version="1.0" encoding="utf-8" standalone="yes"?><rxnormdata><idgroup><rxnormid>997847</rxnormid></idgroup></rxnormdata>
TegretolXREpSO;tegretol x r;tegretol xr®;<?xml version="1.0" encoding="utf-8" standalone="yes"?><rxnormdata><idgroup><rxnormid>152408</rxnormid></idgroup></rxnormdata>
ElectrodeAFzEpSO;electrode a fz;electrod a fz
DysembryoplasticNeuroepithelialTumorEpSO;dysembryoplast neuroepitheli tumor (dnet);dysembryoplastic neuroepithelial tumor;dysembryoplast neuroepitheli tumor;dysembryoplastic neuroepithelial tumor (dnet)
ElectrodeFT7EpSO;electrod f t7;electrode f t7
GliomaEpSO;glioma
FlupenthixolEpSO;flupenthixol
JitteryPhaseEpSO;jitteri phase;jittery phase
SubstanceAbuseEpSO;substanc abus;substance abuse
ElectrodeCP2EpSO;electrod c p2;electrode c p2
LeftThighEpSO;left thigh
LeftFourthToeEpSO;left fourth toe
ElectrodeC3EpSO;electrod c3;electrode c3
PilomotorSeizureEpSO;pilomotor seizure;pilomotor seizur
CerebellumVermisEpSO;cerebellum vermi;cerebellum vermis;vermi of cerebellum;vermis of cerebellum
ElectrodePOzEpSO;electrod p oz;electrode p oz
AmphetamineAspartateEpSO;amphetamine aspartate;amphetamin aspart
ClinicianEpSO;clinician
VisualAuraStatusEpSO;visual aura status
VyvanseEpSO;vyvanse;vyvans
EEG64ChannelTopographicWavePlotEpSO;e e g64 channel topograph wave plot;e e g64 channel topographic wave plot;64-channel topograph wave plot;64-channel topographic wave plot
PrecentralOperculumEpSO;precentr operculum;precentral operculum
MicropsiaStatusEpSO;micropsia status
LeftandRightSphenoidalEpSO;leftand right sphenoidal;left & right sphenoidal;left & right sphenoid;leftand right sphenoid
PrecociousPubertyEpSO;precocious puberty;precoci puberti
ZuclopenthixolEpSO;zuclopenthixol
PeriodicPatternEpSO;period pattern;periodic pattern
BrodmannArea3LeftPostcentralGyrusEpSO;brodmann area3 left postcentr gyrus;brodmann area 3 left postcentral gyrus;brodmann area 3 left postcentr gyrus;brodmann area 3 of left postcentr gyrus;brodmann area3 left postcentral gyrus;brodmann area 3 of left postcentral gyrus
MethylphenidateEpSO;methylphenidate;methylphenid
PostictalMemoryDysfunctionEpSO;postictal memory dysfunction;postict memori dysfunct
HypomotorStatusEpSO;hypomotor status
PhenytoinEpSO;phenytoin
LurasidoneEpSO;lurasidone;lurasidon
ProcessualEntityEpSO;processu entiti;processual entity
MotorStatusEpSO;motor status
IntermediateHypothalamicRegionSegmentEpSO;intermediate hypothalamic region segment;segment of intermediate hypothalamic region;segment of intermedi hypothalam region;intermedi hypothalam region segment
PertofraneEpSO;pertofrane;pertofran;<?xml version="1.0" encoding="utf-8" standalone="yes"?><rxnormdata><idgroup><rxnormid>8078</rxnormid></idgroup></rxnormdata>
ElectrodePL4EpSO;electrode p l4;electrod p l4
CerebrovascularDiseaseEpSO;cerebrovascular disease;cerebrovascular diseas
FrontotemporalN3EpSO;frontotemporal n3;frontotempor n3;n300
LeftFrontalPoleEpSO;left frontal pole;right frontal pole;left fronto-polar
Hemisphere10-10SystemEpSO;hemisphere 10-10 system;hemisphere10-10 system;hemispher 10-10 system
SlowActivityEpSO;slow activ;slow activity
EpilepticSeizureEpSO;epilept seizur;epileptic seizure
SCN1AEpSO;sodium channel, voltage-gated, type i, alpha subunit;s c n1 a
ClomipramineEpSO;clomipramine;clomipramin
SpecialStatusEpSO;special status
ElectrodeTP8EpSO;electrod t p8;electrode t p8
SignOfFourEpSO;sign of four;sign of 4
RightBasalOccipitalLobeSegmentEpSO;right basal occipit lobe segment;right basal occipital lobe segment
AnafranilEpSO;anafranil
EpilepticSpasmEpSO;epilept spasm;epileptic spasm
RightThighEpSO;right thigh
EpileptogenicLesionEpSO;epileptogenic lesion;epileptogen lesion
VisualPosterotemporalN200EpSO;visual posterotemporal n200;n2-p3;visual posterotempor n200
TriflupromazineEpSO;triflupromazin;triflupromazine
TopiramateEpSO;topiram;topiramate
LeftLateralOccipitalLobeSegmentEpSO;left lateral occipital lobe segment;left later occipit lobe segment
HypnogogicStatusEpSO;hypnogogic status;hypnogog status
DelayedSleepPhaseSyndromeEpSO;delayed sleep phase syndrome;dsps;delay sleep phase syndrom
TemporalLobeEpSO;temporal lobe;tempor;tempor cortex;tempor lobe;temporal cortex;temporal
LeftHippocampalFormationEpSO;left hippocamp format;left hippocampal formation
MeasurementUnitEpSO;measur unit;measurement unit
CardinalBodyPartSubdivisionEpSO;subdivision of cardinal body part;princip bodi part subdivis;cardinal body part subdivision;principal body part subdivision;subdivis of cardin bodi part;cardin bodi part subdivis
MesialFrontalLobeSegmentEpSO;mesial frontal;mesial frontal lobe segment
BrodmannAreaSegmentEpSO;brodmann area segment;segment of brodmann area
ClobazamEpSO;clobazam
LeftCerebralHemisphereEpSO;left cerebral hemisphere;left cerebr hemispher
ZenzediEpSO;zenzedi
HemiClonicEpisodeEpSO;hemi clonic episod;hemi clonic episode
HypnogogicEpisodeEpSO;hypnogogic episode;hypnogog episod
LatudaEpSO;latuda
ClinicalSeizureEndEpSO;clinical seizure end;clinic seizur end
RightLateralOccipitalLobeSegmentEpSO;right lateral occipital lobe segment;right later occipit lobe segment
FastAlphaVariantEpSO;fast alpha variant
SertindoleEpSO;sertindol;sertindole
LeftDorsalHypothalamicAreaEpSO;left dorsal hypothalam area;left dorsal hypothalamic area
IntermittentSlowActivityOnsetEpSO;intermitt slow activ onset;intermittent slow activity onset;onset of intermittent slow;onset of intermitt slow
MilnacipranHydrochlorideEpSO;milnacipran hydrochlorid;milnacipran hydrochloride
DesipramineHydrochlorideEpSO;desipramine hydrochloride;desipramin hydrochlorid;desipramine
ElectrodeAF3EpSO;electrod a f3;electrode a f3
RightMiddleFingerEpSO;right middle finger;right middl finger
PosteriorNuclearGroupThalamusSegmentEpSO;posterior nuclear group thalamus segment;segment of posterior nuclear group of thalamus
GelasticStatusEpSO;gelast status;gelastic status
MesialOccipitalEpilepsyEpSO;mesial occipit epilepsi;mesial occipital epilepsy
CellPartClusterEpSO;cell part cluster
AnteriorNuclearGroupThalamusSegmentEpSO;anterior nuclear group thalamus segment;segment of anterior nuclear group of thalamus
ParietalLobeSegmentEpSO;parietal lobe segment;pariet lobe segment
TuberousSclerosisEpSO;tuber sclerosi;tuberous sclerosis
UnilateralEpilepticSpasmEpSO;unilater epilept spasm;unilateral epileptic spasm
MedullaOblongataNeuralTissueEpSO;medulla oblongata neural tissue;neural tissue of medulla oblongata;medulla oblongata neural tissu;neural tissu of medulla oblongata
FastRippleEpSO;fast ripple;fast rippl
BrodmannArea4RightMiddleFrontallGyrusEpSO;brodmann area4 right middl frontal gyrus;brodmann area 4 of right middl frontal gyrus;brodmann area4 right middle frontall gyrus;brodmann area 4 of right medial frontal gyrus;brodmann area 4 right middl frontal gyrus;brodmann area 4 right middle frontal gyrus;brodmann area 4 of right middle frontal gyrus
LittleToeEpSO;little toe;littl toe;digitus minimus; digitus quintus [v]
EyeEpSO;orbit part of face;orbital part of face
QsymiaEpSO;qsymia
InvegaEpSO;invega
ElectrodeFC6EpSO;electrod f c6;electrode f c6
HypsarrhythmiaEpSO;hypsarrhythmia
BrodmannAreaEpSO;brodmann area
CoagulopathyHemorrhageEpSO;coagulopathi hemorrhag;coagulopathy hemorrhage
CXCL9EpSO;chemokine (c-x-c motif) ligand 9;c x c l9;chemokin (c-x-c motif) ligand 9
RitalinEpSO;ritalin
DialepticSeizureEpSO;dialept seizur;dialeptic seizure
PosteriorMedianEminenceEpSO;posterior median emin;posterior median eminence
PolyopiaStatusEpSO;polyopia status
ProlixinEpSO;prolixin;<?xml version="1.0" encoding="utf-8" standalone="yes"?><rxnormdata><idgroup><rxnormid>8741</rxnormid></idgroup></rxnormdata>
EFHC1EpSO;e f h c1;ef-hand domain (c-terminal) containing 1;ef-hand domain (c-terminal) contain 1
SeizureFeatureEpSO;seizur featur;seizure feature
SituationalCicardianRhythmSleepDisorderEpSO;situational cicardian rhythm sleep disorder;situat cicardian rhythm sleep disord
LeftArmEpSO;left arm;left brachial region
VisualHallucinationStatusEpSO;visual hallucination status;visual hallucin status
DiencephalonSegmentEpSO;segment of diencephalon;diencephalon segment
ZonalonEpSO;zonalon
ElectrodeCP1EpSO;electrod c p1;electrode c p1
PrimazineEpSO;primazin;primazine;<?xml version="1.0" encoding="utf-8" standalone="yes"?><rxnormdata><idgroup><rxnormid>545267</rxnormid></idgroup></rxnormdata>
ElectrodeTP10EpSO;electrode t p10;electrod t p10
LeftTemporalPoleEpSO;left temporal pole;left tempor pole;left temporal-polar
SpecialPatternEpSO;special pattern
FocalCorticalDysplasiaTypeIIAEpSO;fcd type iia (dysmorph neuron);fcd type iia (dysmorphic neuron);focal cortical dysplasia type i i a;focal cortic dysplasia type i i a
AtypicalDialepticStatusEpSO;atyp dialept status;atypical dialeptic status
MetastaticTumorEpSO;metastat tumor;metastatic tumor
FocalCorticalDysplasiaTypeICEpSO;focal cortical dysplasia type i c;fcd type ic (abnorm radial and tangenti cortic lamination);fcd type ic (abnormal radial and tangential cortical lamination);focal cortic dysplasia type i c
ElectrodeCPzEpSO;electrode c pz;electrod c pz
DiplopiaStatusEpSO;diplopia status
BrodmannArea4RightPrecentralGyrusEpSO;brodmann area 4 right precentral gyrus;brodmann area 4 of right precentral gyrus;brodmann area4 right precentral gyrus;brodmann area 4 of right precentr gyrus;brodmann area4 right precentr gyrus;brodmann area 4 right precentr gyrus
ForebrainNeuralTissueEpSO;forebrain neural tissue;forebrain neural tissu;neural tissue of forebrain;neural tissu of forebrain
NeoplasticEpSO;neoplast;metastasis;neoplastic;metastasi
CerebralHemisphereEpSO;cerebr hemispher;cerebral hemisphere
DependentContinuantEpSO;depend continu;dependent continuant
TongueEpSO;tongue;tongu
AstaticStatusEpSO;astat status;astatic status
MedialGeniculateBodySegmentEpSO;segment of medial genicul bodi;segment of medial geniculate body;medial geniculate body segment;medial genicul bodi segment
TypicalDialepticEpisodeEpSO;typical dialeptic episode;typic dialept episod
ConcertaEpSO;concerta
JitteryPhaseEndEpSO;jitteri phase end;end of jittery phase;end of jitteri phase;jittery phase end
IctalSpeechEpSO;ictal speech
ElectrodeC2EpSO;electrode c2;electrod c2
InovelonEpSO;inovelon;inovelon®
IctalPatternEpSO;ictal pattern
GustatoryAuraStatusEpSO;gustatory aura status;gustatori aura status
InsulaEpSO;insular;insular region;insula
MesialParietalEpilepsyEpSO;mesial pariet epilepsi;mesial parietal epilepsy
GangliogliomaEpSO;ganglioglioma
BrodmannArea4FrontalLobeEpSO;brodmann area 4 of anterior segment of right paracentr lobul;brodmann area4 frontal lobe;brodmann area 4 frontal lobe;brodmann area 4 of anterior segment of right paracentral lobule
ElectrodecrementEpSO;electrodecrement;electrodecr
HighFrequencyOscillationEpSO;high frequency oscillation;high frequenc oscil
OneDimensionalXCoordinateDatumEpSO;one dimensional x coordinate datum;one dimension x coordin datum;one dimension xcoordin datum;one dimensional xcoordinate datum
PosteriorCingulateEpilepsyEpSO;posterior cingulate epilepsy;posterior cingul epilepsi
GenderEpSO;gender
TrileptalEpSO;trileptal;trileptal®;trilept
QuillivantEpSO;quilliv;quillivant
HealthCareEncounterEpSO;health care encount;health care encounter
TemporalLobeGyrusEpSO;gyrus of tempor lobe;gyrus of temporal lobe;tempor lobe gyrus;temporal lobe gyrus
RightSignOfFourEpSO;right sign of 4;right sign of four
ObstructiveSleepApneaEpSO;obstructive sleep apnea;obstruct sleep apnea
OrapEpSO;orap
MedialParietalLobeEpSO;medial parietal;medial pariet lobe;medial pariet;medial parietal lobe
RightArmEpSO;right brachial region;right arm
LeftThirdToeEpSO;left third toe
IctalNystagmusEpSO;ictal nystagmus
CHRNA2EpSO;cholinerg receptor, nicotinic, alpha 2 (neuronal);c h r n a2;cholinergic receptor, nicotinic, alpha 2 (neuronal)
RasmussenEncephalitisEpSO;rasmussen enceph;rasmussen encephalitis
DesipramineDibudinateEpSO;desipramin dibudin;desipramine dibudinate
EEGScalpDifferenceMapEpSO;e e g scalp differ map;eeg scalp difference map;eeg scalp differ map;e e g scalp difference map
PainfulSeizureEpSO;pain seizur;plainful seizure;plain seizur;painful seizure
BrodmannArea4RightParacentralLobuleAnteriorSegmentEpSO;anterior segment of brodmann area 4 right paracentr lobul;brodmann area4 right paracentral lobule anterior segment;brodmann area 4 of anterior segment of right paracentr lobul;anterior segment of brodmann area 4 right paracentral lobule;brodmann area4 right paracentr lobul anterior segment;brodmann area 4 of anterior segment of right paracentral lobule
ElementaryAuditoryAuraStatusEpSO;elementari auditori aura status;elementary auditory aura status
CACNA1HEpSO;calcium channel, voltage-dependent, t type, alpha 1h subunit;c a c n a1 h
SomatosensoryAuraStatusEpSO;somatosensory aura status;somatosensori aura status
ThetaActivityEpSO;theta activ;theta activity
FanaptEpSO;fanapt
VersiveEpisodeEpSO;versiv episod;versive episode
LeftLateralParietalLobeSegmentEpSO;left lateral parietal;left lateral parietal lobe segment;left later pariet lobe segment;left later pariet
Tofranil-PMEpSO;<?xml version="1.0" encoding="utf-8" standalone="yes"?><rxnormdata><idgroup><rxnormid>220334</rxnormid></idgroup></rxnormdata>;tofranil- p m
ElectrodeC5EpSO;electrod c5;electrode c5
LuminalEpSO;lumin;<?xml version="1.0" encoding="utf-8" standalone="yes"?><rxnormdata><idgroup><rxnormid>847470</rxnormid></idgroup></rxnormdata>;luminal
IntermittentSlowActivityEpSO;intermitt slow activ;intermittent slow activity;intermittent slow;intermitt slow
HypehydroticSeizureEpSO;hypehydrotic seizure;hypehydrot seizur
FreeLimbSegmentEpSO;free limb segment
MethylphenidateHydrochlorideEpSO;methylphenidate hydrochloride;methylphenid hydrochlorid
HabenularTrigoneEpSO;habenular trigone;habenular trigon
AutomatismwithPreservedResponsivenessEpSO;automatism with preserved responsiveness;automat with preserv respons;automatismwith preserved responsiveness;automatismwith preserv respons
AutonomicSeizureEpSO;autonom seizur;autonomic seizure
AnteriorCingulateSegmentEpSO;anterior cingulate segment;anterior cingul segment
SCN1BEpSO;s c n1 b;sodium channel, voltage-gated, type i, beta subunit
EEGEventEpSO;e e g event
SeizurePatternEpSO;eeg-sz;seizure pattern;seizur pattern
DiencephalonWhiteMatterStructureEpSO;diencephalon white matter structure;white matter structur of diencephalon;diencephalon white matter structur;white matter structure of diencephalon
ElectrodeAF4EpSO;electrod a f4;electrode a f4
MarplanEpSO;marplan
SubthalamusSegmentEpSO;segment of subthalamus;subthalamus segment
AtypicalDialepticEpisodeEpSO;atypical dialeptic episode;atyp dialept episod
LeftMesialTemporalLesionEpSO;left mesial tempor lesion;left mesial temporal lesion
VentralNuclearGroupThalamusSegmentEpSO;segment of ventral nuclear group of thalamus;ventral nuclear group thalamus segment
